日付,米ドル,英ポンド,ユーロ,カナダドル,スイスフラン,スウェーデンクローネ,デンマーククローネ,ノルウェークローネ,オーストラリアドル,ニュージーランドドル,南アフリカランド,バーレーンディナール,香港ドル,インドルピー,フィリピンペソ,シンガポールドル,タイバーツ,クウェートディナール,サウジアラビアリアル,UAEディルハム,メキシコペソ,インドネシアルピア,台湾ドル
2008/5/22,102.88,203.11,162.54,104.66,100.46,17.47,21.81,20.73,99.22,80.14,13.36,273.18,13.19,2.42,2.38,75.79,3.24,385.03,27.44,28.03,9.93,1.11,3.38
2008/5/23,104.17,206.24,163.83,105.61,100.99,17.6,21.97,20.78,99.74,81.85,13.69,276.61,13.35,2.44,2.39,76.66,3.27,390.15,27.78,28.36,10.06,1.12,3.44
2008/5/26,103.19,204.56,162.84,104.39,100.75,17.49,21.84,20.61,99.06,81.12,13.41,274,13.22,2.43,2.38,75.95,3.21,390.13,27.52,28.1,9.95,1.11,3.38
2008/5/27,103.39,204.88,163.24,104.34,101.01,17.53,21.89,20.66,99.39,81.62,13.43,274.54,13.25,2.43,2.37,75.89,3.21,390.89,27.58,28.15,9.95,1.11,3.38
2008/5/28,104.16,205.78,163.28,104.75,100.74,17.55,21.9,20.76,99.73,82.12,13.45,276.58,13.34,2.44,2.38,76.43,3.23,393.8,27.78,28.36,10.04,1.12,3.42
2008/5/29,104.81,207.74,164.03,105.95,100.99,17.57,22,20.84,101.03,82.52,13.68,278.31,13.43,2.47,2.4,76.92,3.25,396.26,27.96,28.55,10.17,1.13,3.43
2008/5/30,105.75,209.07,164.06,106.87,100.77,17.6,22.01,20.81,101.08,82.51,13.97,280.8,13.55,2.49,2.42,77.37,3.26,399.81,28.2,28.8,10.25,1.14,3.47
2008/6/2,105.31,208.02,163.77,105.71,101.06,17.56,21.97,20.66,100.6,82.53,13.88,279.63,13.49,2.49,2.41,77.34,3.24,397.4,28.09,28.66,10.21,1.13,3.46
2008/6/3,104.42,205.1,162.24,104.22,100.68,17.32,21.76,20.37,99.61,81.91,13.56,277.27,13.38,2.47,2.4,76.58,3.21,394.78,27.85,28.44,10.11,1.12,3.44
2008/6/4,105.17,206.42,162.46,104.16,100.89,17.41,21.79,20.37,99.89,81.98,13.57,279.26,13.47,2.49,2.4,77.09,3.22,395.82,28.05,28.64,10.21,1.13,3.47
2008/6/5,105.43,205.99,162.67,103.81,101.11,17.42,21.82,20.42,100.94,81.15,13.53,279.95,13.5,2.48,2.4,77.07,3.22,397.55,28.12,28.71,10.23,1.13,3.47
2008/6/6,106.07,207.83,165.31,104.28,102.08,17.75,22.18,20.8,101.98,81.4,13.58,281.58,13.58,2.49,2.41,77.67,3.22,400.57,28.3,28.88,10.32,1.14,3.49
2008/6/9,105.1,206.92,165.74,103.17,102.99,17.76,22.2,20.9,101.05,80.72,13.34,279.45,13.46,2.47,2.39,77.01,3.16,397.35,28.04,28.63,10.15,1.13,3.46
2008/6/10,106.78,210.75,166.37,104.33,103.53,17.83,22.31,20.95,101.31,80.88,13.55,283.91,13.67,2.5,2.42,78.06,3.23,403.4,28.49,29.09,10.31,1.15,3.53
2008/6/11,107.45,209.91,166.16,105.12,103.01,17.75,22.29,20.79,101.56,81.03,13.49,285.32,13.76,2.51,2.42,78.34,3.25,405.47,28.66,29.26,10.32,1.15,3.55
2008/6/12,107.06,210.07,166.34,104.89,103.73,17.75,22.32,20.78,101.39,80.91,13.4,284.2,13.71,2.52,2.42,78.05,3.23,404,28.56,29.15,10.26,1.15,3.54
2008/6/13,107.95,210.15,166.7,105.63,103.67,17.75,22.36,20.79,101.29,81.05,13.28,286.64,13.82,2.54,2.42,78.24,3.26,407.05,28.79,29.39,10.41,1.16,3.55
2008/6/16,108.29,211.14,166.61,105.15,103.3,17.79,22.35,20.71,101.57,81.31,13.33,287.62,13.86,2.54,2.44,78.53,3.26,407.87,28.88,29.49,10.47,1.16,3.56
2008/6/17,108.3,212.55,167.49,105.77,103.64,17.95,22.47,20.88,102.02,81.66,13.38,287.65,13.87,2.54,2.43,78.93,3.25,407.91,28.89,29.5,10.51,1.16,3.57
2008/6/18,107.92,211.21,167.46,106.01,103.62,17.88,22.46,20.81,101.95,81.65,13.5,286.56,13.82,2.52,2.46,79.09,3.25,406.48,28.79,29.38,10.47,1.16,3.55
2008/6/19,107.75,211.3,167.89,105.93,104.3,17.9,22.52,20.92,101.92,81.77,13.45,286.11,13.8,2.53,2.44,78.8,3.23,406.14,28.74,29.34,10.46,1.16,3.55
2008/6/20,108.03,212.97,167.45,106.32,103.44,17.84,22.47,20.85,102.6,82.26,13.59,286.86,13.84,2.53,2.43,78.9,3.24,407.81,28.82,29.42,10.49,1.16,3.57
2008/6/23,107.37,212.15,167.7,105.85,103.66,17.81,22.5,20.86,102.59,81.99,13.47,285.03,13.76,2.52,2.42,78.74,3.22,406.09,28.64,29.24,10.44,1.16,3.54
2008/6/24,108,212.14,167.61,106.25,103.27,17.85,22.48,20.98,102.79,81.84,13.4,286.78,13.83,2.53,2.43,78.98,3.23,407.39,28.81,29.41,10.47,1.17,3.55
2008/6/25,107.82,212.5,167.89,106.5,103.51,17.84,22.52,21.06,103.16,81.87,13.45,286.22,13.81,2.53,2.42,78.82,3.22,406.87,28.74,29.36,10.48,1.17,3.55
2008/6/26,108.01,213.19,169.21,106.94,104.31,18.01,22.71,21.32,103.62,81.89,13.74,286.73,13.83,2.55,2.42,78.99,3.22,405.9,28.81,29.41,10.53,1.17,3.54
2008/6/27,106.96,212.6,168.43,105.57,104.42,17.91,22.59,21.17,102.26,80.78,13.52,283.94,13.71,2.52,2.41,78.31,3.19,404.23,28.53,29.13,10.4,1.16,3.52
2008/6/30,106.42,212.31,168.04,105.2,104.44,17.82,22.55,21.01,102.41,81.21,13.43,282.51,13.64,2.5,2.37,78.21,3.17,402.8,28.39,28.98,10.34,1.16,3.51
2008/7/1,106.26,211.64,167.4,104.16,104.07,17.68,22.46,20.9,101.94,80.9,13.58,282.08,13.62,2.48,2.36,78.16,3.17,401.59,28.35,28.94,10.32,1.15,3.5
2008/7/2,106.05,211.6,167.63,103.88,104.07,17.76,22.49,20.96,101.29,80.43,13.48,281.75,13.6,2.46,2.36,77.81,3.18,400.95,28.29,28.88,10.23,1.15,3.5
2008/7/3,106.01,211.13,168.34,104.57,104.55,17.77,22.59,20.98,101.92,80.65,13.54,281.64,13.59,2.47,2.34,78.07,3.18,400.79,28.28,28.87,10.2,1.15,3.49
2008/7/4,106.71,211.72,167.51,104.89,103.96,17.81,22.49,20.95,102.51,80.76,13.77,283.5,13.68,2.48,2.35,78.34,3.2,402.68,28.47,29.06,10.31,1.16,3.51
2008/7/7,106.86,211.68,167.34,104.92,104.03,17.85,22.46,21,102.94,81.11,13.81,283.67,13.7,2.48,2.36,78.44,3.19,403.55,28.51,29.1,10.35,1.16,3.52
2008/7/8,107.09,211.61,168.37,105.25,104.43,17.9,22.59,21.12,102.36,80.7,13.84,284.28,13.73,2.48,2.35,78.66,3.18,404.88,28.56,29.16,10.38,1.17,3.53
2008/7/9,107.46,211.61,168.36,105.49,103.98,17.87,22.58,20.95,102.37,81,13.87,285.42,13.77,2.48,2.34,78.85,3.19,405.51,28.66,29.26,10.42,1.17,3.54
2008/7/10,106.93,211.8,168.21,105.67,103.91,17.81,22.56,20.92,102.14,80.99,13.87,284.01,13.71,2.49,2.35,78.48,3.19,403.51,28.52,29.12,10.39,1.16,3.52
2008/7/11,107.05,211.88,169.1,106.11,104.18,17.88,22.68,21.03,103.04,81.35,13.92,284.33,13.72,2.5,2.35,78.77,3.18,403.96,28.55,29.15,10.4,1.17,3.53
2008/7/14,106.7,211.81,169.59,105.53,104.66,17.92,22.75,21.06,103.23,81.06,13.86,283.25,13.67,2.51,2.33,78.6,3.17,403.1,28.46,29.06,10.38,1.17,3.51
2008/7/15,106.11,211.75,168.82,105.48,104.43,17.81,22.64,20.99,103.21,81.11,13.85,281.76,13.6,2.49,2.35,78.52,3.16,400.42,28.3,28.89,10.31,1.16,3.49
2008/7/16,104.82,210.11,166.77,104.59,103.73,17.61,22.37,20.75,102.88,81.02,13.72,278.26,13.44,2.44,2.31,77.79,3.14,396.29,28,28.55,10.18,1.15,3.45
2008/7/17,105.09,210.19,166.4,105.05,103.35,17.51,22.32,20.65,102.6,81.15,13.8,279.12,13.47,2.46,2.33,77.88,3.14,396.57,28.08,28.62,10.29,1.15,3.46
2008/7/18,106.49,212.71,168.65,105.8,104.26,17.84,22.62,20.97,103.56,81.36,14.15,282.84,13.66,2.5,2.4,78.81,3.19,401.85,28.42,29,10.42,1.17,3.51
2008/7/22,106.5,213.17,169.62,106.4,104.75,17.96,22.74,21.06,103.95,81.1,14.12,282.72,13.66,2.51,2.39,78.8,3.2,401.89,28.42,29,10.51,1.16,3.51
2008/7/23,107.35,213.79,169.4,106.51,104.17,17.93,22.72,21.05,104.44,81.55,14.36,285.13,13.77,2.54,2.41,79.11,3.22,403.88,28.64,29.23,10.7,1.17,3.54
2008/7/24,107.92,215.63,169.3,106.8,103.91,17.91,22.7,20.95,103.75,80.43,14.31,286.64,13.83,2.58,2.46,79.11,3.24,406.63,28.8,29.39,10.79,1.18,3.55
2008/7/25,107.34,213.19,168.26,105.72,103.59,17.78,22.57,20.78,102.65,79.65,14.05,285.02,13.76,2.56,2.43,78.83,3.21,404.29,28.64,29.23,10.71,1.18,3.53
2008/7/28,108.02,214.88,169.57,105.83,104.04,17.93,22.74,20.96,102.99,80.08,14.24,286.75,13.85,2.57,2.45,79.27,3.24,406.85,28.82,29.41,10.68,1.19,3.56
2008/7/29,107.42,214.2,169.07,105.13,103.99,17.88,22.67,20.94,102.94,80.19,14.3,285.16,13.77,2.55,2.44,78.9,3.21,404.9,28.65,29.25,10.69,1.18,3.53
2008/7/30,108.1,214.16,168.47,105.6,103.4,17.8,22.59,20.87,102.8,79.86,14.66,287.04,13.86,2.55,2.44,79.06,3.23,407.16,28.84,29.44,10.77,1.19,3.55
2008/7/31,108.12,213.99,168.45,105.6,103.17,17.83,22.59,21,102.1,79.3,14.62,287.1,13.86,2.57,2.45,78.95,3.22,407.39,28.84,29.44,10.8,1.19,3.54
2008/8/1,107.82,213.82,167.97,105.23,102.83,17.81,22.53,20.99,101.16,78.68,14.79,286.3,13.82,2.55,2.44,78.73,3.22,406.41,28.76,29.36,10.76,1.19,3.52
2008/8/4,107.61,212.62,167.6,104.7,102.67,17.71,22.48,20.97,100.17,78.33,14.91,285.66,13.79,2.55,2.43,78.52,3.21,405.31,28.7,29.3,10.83,1.18,3.5
2008/8/5,108.26,212.27,168.26,104.17,103.1,17.81,22.56,21.07,100.38,78.68,14.93,287.39,13.87,2.57,2.44,78.75,3.23,407.15,28.88,29.48,10.98,1.19,3.53
2008/8/6,108.44,212.14,167.78,103.98,102.87,17.77,22.5,20.9,99.53,78.79,14.73,287.87,13.89,2.58,2.46,78.63,3.23,408.44,28.92,29.53,10.95,1.2,3.53
2008/8/7,109.41,213.29,168.91,104.47,103.41,17.94,22.65,21.03,99.68,78.78,14.75,290.52,14.02,2.62,2.5,79.08,3.26,411.94,29.18,29.79,11.01,1.21,3.56
2008/8/8,109.59,212.55,167.27,104.03,102.8,17.83,22.4,20.94,98.89,77.72,14.49,290.92,14.04,2.62,2.47,78.58,3.26,411.22,29.23,29.84,10.96,1.21,3.54
2008/8/11,109.95,210.79,164.45,102.91,101.62,17.49,22.05,20.42,97.59,77.13,14.15,291.88,14.07,2.63,2.48,78.14,3.26,412.26,29.33,29.94,10.83,1.2,3.54
2008/8/12,110.18,210.53,164.31,103.05,101.39,17.49,22.03,20.52,97.36,76.98,14.09,292.33,14.11,2.63,2.48,78.08,3.26,413.12,29.39,30,10.82,1.2,3.54
2008/8/13,109.04,206.94,162.74,102.21,100.5,17.34,21.83,20.32,94.78,75.38,14.01,289.54,13.97,2.59,2.44,77.63,3.24,409,29.08,29.69,10.75,1.19,3.52
2008/8/14,109.44,204.43,163.13,102.94,100.78,17.39,21.88,20.3,95.39,76.67,13.95,290.6,14.02,2.58,2.44,77.87,3.25,408.97,29.19,29.8,10.78,1.19,3.49
2008/8/15,109.94,205.14,162.35,103.02,100.22,17.35,21.77,20.33,94.97,76.72,13.98,291.85,14.07,2.57,2.44,77.67,3.26,410.22,29.33,29.94,10.83,1.2,3.52
2008/8/18,110.19,205.98,162.32,104.14,100.81,17.37,21.78,20.38,96.16,78.18,13.99,292.51,14.1,2.59,2.43,77.98,3.26,412.39,29.39,30,10.83,1.2,3.52
2008/8/19,110.01,204.93,161.46,103.34,100.15,17.25,21.63,20.28,95.15,77.76,14.24,292.04,14.08,2.54,2.42,77.74,3.24,409.42,29.34,29.96,10.82,1.2,3.51
2008/8/20,109.9,205.22,162.39,103.64,100.59,17.27,21.79,20.4,95.93,78.57,14.23,291.74,14.07,2.54,2.42,78.05,3.23,412.85,29.31,29.93,10.85,1.2,3.51
2008/8/21,109.68,204.63,162.14,103.55,99.98,17.27,21.75,20.35,95.89,78.23,14.16,291.16,14.04,2.53,2.39,77.69,3.21,411.71,29.26,29.87,10.83,1.2,3.5
2008/8/22,108.69,203.82,161.74,104.07,99.86,17.3,21.69,20.41,95.53,78.14,14.23,288.53,13.92,2.52,2.4,77.39,3.21,408,28.99,29.6,10.79,1.19,3.46
2008/8/25,110.28,203.31,162.42,104.88,100.07,17.37,21.78,20.44,95.06,77.82,14.37,292.75,14.12,2.56,2.43,77.91,3.24,412.26,29.42,30.03,10.89,1.21,3.53
2008/8/26,109.46,202.12,160.99,104,99.62,17.2,21.6,20.33,93.92,76.24,14.09,290.58,14.02,2.52,2.39,77.14,3.2,409.96,29.2,29.81,10.81,1.2,3.49
2008/8/27,109.31,201.52,160.61,104.58,99.68,17.14,21.55,20.23,93.82,76.41,14.06,290.18,14,2.5,2.37,76.91,3.2,413.27,29.16,29.77,10.77,1.19,3.47
2008/8/28,109.54,200.87,161.59,104.67,100.03,17.2,21.68,20.47,94.27,76.93,14.17,290.79,14.03,2.52,2.38,77.45,3.22,413.36,29.22,29.83,10.81,1.2,3.47
2008/8/29,109.35,200.13,160.84,103.99,99.68,17.05,21.58,20.31,94.48,76.92,14.17,290.28,14,2.51,2.4,77.14,3.2,411.4,29.17,29.78,10.68,1.2,3.47
2008/9/1,108.64,196.28,159.15,102.34,98.55,16.81,21.33,20.01,92.92,75.74,14.1,288.4,13.92,2.5,2.36,76.48,3.17,407.35,28.98,29.58,10.58,1.19,3.45
2008/9/2,108.56,194.65,158.26,101.59,98.41,16.73,21.24,19.89,92.31,75.23,14.03,288.19,13.91,2.47,2.34,76.03,3.15,407.2,28.96,29.56,10.51,1.19,3.44
2008/9/3,108.9,193.97,157.97,101.85,98.35,16.71,21.2,19.77,90.75,74.35,14.01,289.17,13.95,2.47,2.34,75.98,3.16,407.56,29.05,29.66,10.51,1.18,3.43
2008/9/4,108.33,192.22,157.18,102.18,98.02,16.59,21.1,19.62,90.54,74.23,13.79,287.58,13.87,2.45,2.32,75.69,3.15,406.95,28.9,29.5,10.44,1.18,3.41
2008/9/5,106.79,187.95,152.45,99.86,96.11,16.1,20.47,19.15,87.22,71.14,13.28,283.49,13.68,2.42,2.29,74.18,3.09,398.47,28.49,29.08,10.14,1.16,3.37
2008/9/8,108.51,193.6,155.77,102.68,97.06,16.48,20.9,19.5,89.98,73.81,13.85,288.05,13.9,2.44,2.33,76.46,3.15,405.95,28.94,29.55,10.42,1.16,3.41
2008/9/9,107.77,189.37,152.15,101.09,95.52,16.09,20.4,18.99,87.63,72.02,13.62,286.09,13.81,2.43,2.32,75.09,3.12,403.94,28.75,29.35,10.28,1.16,3.39
2008/9/10,107.16,188.63,151.19,100.04,94.92,15.87,20.29,18.78,86.04,71.47,13.32,284.47,13.74,2.41,2.29,74.67,3.1,401.05,28.58,29.19,10.16,1.15,3.36
2008/9/11,107.53,188.07,149.97,100.06,94.42,15.79,20.13,18.62,85.72,70.11,13.11,285.45,13.79,2.4,2.29,74.64,3.1,402.43,28.68,29.29,10.13,1.15,3.38
2008/9/12,107.2,188.41,150.12,99.77,94.19,15.77,20.14,18.48,86.16,70.12,13.12,284.58,13.75,2.36,2.27,74.73,3.09,401.5,28.6,29.19,10.12,1.14,3.35
2008/9/16,104.39,186.77,148.46,97.42,93.64,15.41,19.92,18.01,82.71,67.96,12.9,277.12,13.4,2.29,2.22,73.07,3.03,391.71,27.84,28.42,9.73,1.1,3.25
2008/9/17,106.5,190.22,151.02,99.8,95.01,15.73,20.27,18.26,85.73,70.63,13.24,283.47,13.68,2.3,2.25,74.42,3.12,399.62,28.4,29.01,9.96,1.13,3.32
2008/9/18,104.89,190.78,150.62,98.28,95.27,15.65,20.22,18.04,83.25,69.59,12.73,279.19,13.48,2.28,2.23,73.33,3.07,393.58,27.97,28.56,9.7,1.12,3.27
2008/9/19,106.2,191.74,151.39,99.92,95.41,15.79,20.27,18.3,85.36,71.32,13.03,282.6,13.64,2.3,2.25,74.11,3.12,397.46,28.29,28.92,9.89,1.13,3.29
2008/9/22,106.96,195.68,154.91,101.99,96.88,16.21,20.78,18.87,89.04,73.61,13.33,284.62,13.75,2.35,2.3,75.2,3.15,402.86,28.5,29.13,10.07,1.14,3.33
2008/9/24,105.46,195.86,154.91,102.05,97.14,16.11,20.78,18.91,88.02,71.86,12.97,279.88,13.59,2.33,2.27,74.54,3.12,396.47,28.1,28.72,9.83,1.13,3.31
2008/9/25,106.07,196.48,155.5,102.23,97.52,16.09,20.86,18.82,88.53,72.54,13.07,281.5,13.66,2.33,2.28,74.56,3.12,399.51,28.27,28.89,9.79,1.14,3.33
2008/9/26,106.13,195.58,155.58,102.7,97.81,16.15,20.88,18.86,88.88,72.95,13.08,281.66,13.64,2.33,2.28,74.61,3.13,398.24,28.28,28.91,9.88,1.13,3.32
2008/9/29,106.91,195.32,154.92,103.11,97.34,16.01,20.78,18.75,88.83,73.34,13.16,283.73,13.75,2.32,2.29,74.75,3.15,400.26,28.49,29.12,9.93,1.14,3.33
2008/9/30,103.63,186.97,149.06,98.79,94.99,15.25,20,17.82,82.97,69.45,12.46,275.03,13.35,2.25,2.22,72.39,3.03,389.59,27.59,28.23,9.39,1.1,3.23
2008/10/1,106.52,189.72,150.59,100.37,95.23,15.46,20.18,18.24,84.77,71.41,12.89,282.7,13.72,2.29,2.25,74.35,3.14,399.7,28.36,29.02,9.75,1.13,3.3
2008/10/2,106.28,187.71,148.37,99.73,94.09,15.25,19.9,18,84.12,71.42,12.88,282.06,13.68,2.3,2.26,73.77,3.12,399.55,28.3,28.95,9.72,1.13,3.32
2008/10/3,105.07,185.4,145.02,97.3,92.69,14.95,19.46,17.48,81.33,69.12,12.41,278.92,13.52,2.28,2.24,72.57,3.08,395,27.98,28.62,9.4,1.12,3.28
2008/10/6,104.42,184.44,142.54,96.04,92.39,14.65,19.12,17.13,79.25,68.55,12.2,277.2,13.44,2.24,2.22,71.64,3.04,391.82,27.8,28.44,9.3,1.11,3.25
2008/10/7,101.65,177.4,137.43,92.37,88.85,14.12,18.43,16.32,73.23,64.19,11.48,269.77,13.08,2.15,2.14,69.23,2.94,381.14,27.07,27.69,8.59,1.06,3.15
2008/10/8,101.64,177.63,138.12,91.87,89.07,14.27,18.52,16.45,72.1,63.49,11.35,269.75,13.08,2.12,2.13,69.24,2.94,380.82,27,27.69,8.26,1.06,3.15
2008/10/9,99.99,171.93,135.71,88.71,88.41,14.04,18.24,16.24,66.84,59.47,10.87,265.37,12.87,2.11,2.11,67.92,2.9,374.49,26.57,27.24,8.15,1.04,3.09
2008/10/10,99.13,168.84,134.42,85.55,87.83,13.89,18.07,16.02,66.19,58.95,10.49,263.08,12.77,2.09,2.09,67.12,2.88,371.27,26.41,26.99,7.35,1.03,3.06
2008/10/14,102.82,179.43,140.18,90.16,90.52,14.5,18.83,16.62,72.8,63.78,11.43,272.37,13.24,2.16,2.18,70.49,3.02,386.54,27.71,28,8.47,1.05,3.18
2008/10/15,101.65,177.09,138.12,87.18,89.35,14.1,18.54,16.09,70.33,62.71,11.13,269.84,13.1,2.14,2.16,69.14,2.99,380.71,27.08,27.68,8.17,1.04,3.15
2008/10/16,100.06,172.82,134.77,83.99,88.1,13.29,18.1,15.31,66.69,60.76,9.42,265.55,12.9,2.08,2.1,67.55,2.92,374.76,26.62,27.24,7.55,1.02,3.09
2008/10/17,101.68,176.3,136.98,85.99,89.55,13.72,18.4,15.63,70.26,62.7,10.16,269.99,13.11,2.11,2.11,68.84,2.97,380.11,26.99,27.69,8.04,1.03,3.12
2008/10/20,101.86,176.49,137.23,86.21,89.7,13.72,18.42,15.48,70.74,62.59,10.28,270.33,13.13,2.11,2.13,68.96,2.98,382.21,27.1,27.75,7.96,1.04,3.13
2008/10/21,101.95,175.06,135.87,85.48,88.63,13.65,18.24,15.41,71.25,63.08,10.15,270.57,13.14,2.11,2.11,69.08,2.98,379.42,27.15,27.77,7.87,1.04,3.12
2008/10/22,100.46,166.63,130.82,82.72,86.96,12.93,17.56,14.54,68.38,61.23,9.56,266.68,12.96,2.07,2.09,67.5,2.92,373.46,26.79,27.39,7.64,1.02,3.08
2008/10/23,97.67,158.36,125.02,77.63,83.97,12.4,16.8,13.47,64.85,57.5,8.54,259.28,12.6,1.99,2,65.09,2.83,363.76,26.07,26.62,7.1,0.99,2.96
2008/10/24,97.32,156.93,125.15,77.82,83.74,12.63,16.79,14.09,64.56,57.44,9.02,258.35,12.55,1.98,1.98,64.73,2.81,362.46,25.97,26.53,7.3,0.98,2.92
2008/10/27,94.28,149.44,118.74,74.01,81,11.88,15.95,13.47,58.42,52.62,8.43,250.28,12.16,1.92,1.94,62.65,2.72,352.19,25.16,25.69,7.05,0.94,2.82
2008/10/28,93.31,144.37,115.8,71.87,80.51,11.64,15.53,13.37,56.56,51.13,8.47,247.7,12.04,1.87,1.89,61.71,2.68,348.17,24.91,25.42,6.92,0.87,2.79
2008/10/29,97.94,157.03,124.88,76.88,84.91,12.6,16.77,14.54,63.31,56.06,9.56,259.99,12.63,2,1.99,65.62,2.81,364.09,26.15,26.7,7.55,0.9,2.92
2008/10/30,98.59,162.33,129.09,81.06,87.36,13.11,17.33,14.92,67.07,58.13,10.18,261.72,12.72,2.01,2.01,66.65,2.83,368.42,26.33,26.88,7.68,0.92,2.96
2008/10/31,98.41,160.34,125.76,80.62,86.14,12.82,16.92,14.73,65.66,57.5,9.98,261.24,12.7,2.01,2,66.67,2.82,365.84,26.27,26.82,7.83,0.92,3
2008/11/4,99.11,156.38,124.78,83.84,84.16,12.69,16.77,14.7,66.68,58.52,9.99,263.24,12.79,2.06,2.04,66.76,2.84,365.99,26.43,27,7.73,0.91,3.02
2008/11/5,99.75,158.93,129.19,86.29,85.48,13.08,17.38,15.07,69.3,60.42,10.31,265.01,12.87,2.13,2.06,67.77,2.86,370.68,26.59,27.19,8.04,0.92,3.03
2008/11/6,98.16,155.78,126.7,83.94,84.57,12.58,17.04,14.46,66.53,58.63,10.08,260.79,12.67,2.1,2.04,66.04,2.81,365.04,26.19,26.75,7.71,0.9,3
2008/11/7,97.13,151.1,123.06,81.01,82.43,12.25,16.55,14.03,64.45,56.76,9.48,258.05,12.53,2.05,2.01,64.59,2.78,361.21,25.94,26.46,7.45,0.9,2.96
2008/11/10,99.21,157.25,127.88,84.25,84.56,12.73,17.18,14.59,68.72,59.58,10.05,263.51,12.8,2.11,2.06,67.09,2.85,368.54,26.45,27.04,7.84,0.91,3.02
2008/11/11,97.49,152.06,123.77,81.31,82.6,12.35,16.62,14.23,64.93,56.54,9.69,258.94,12.58,2.07,2.01,65.11,2.79,361.74,26.02,26.55,7.64,0.89,2.97
2008/11/12,97.57,150.33,122.37,81,82.3,12.15,16.45,13.97,64.21,56,9.51,259.22,12.59,2.05,2,64.77,2.79,361.91,26.05,26.58,7.54,0.88,2.97
2008/11/13,95.65,142.39,119.22,77.34,80.49,11.8,16.02,13.44,61.4,53.53,9.25,254.12,12.34,1.95,1.96,63.37,2.74,354.13,25.53,26.05,7.35,0.83,2.9
2008/11/14,97.17,144.07,123.97,79.8,81.87,12.45,16.66,14.08,64.29,54.92,9.59,258.22,12.54,2,1.96,64.25,2.78,359.62,25.93,26.47,7.5,0.84,2.93
2008/11/17,96.55,141.79,121.06,77.75,80.65,12.04,16.25,13.77,61.96,53.33,9.48,256.58,12.46,1.99,1.97,63.37,2.76,356.54,25.76,26.3,7.41,0.84,2.93
2008/11/18,96.46,144.31,121.72,78.3,80.38,12.01,16.36,13.79,62.14,53.04,9.52,256.34,12.45,1.97,1.94,63.29,2.76,356.2,25.74,26.28,7.34,0.82,2.92
2008/11/19,96.53,143.98,121.88,78.49,80.31,12.01,16.35,13.64,62.27,52.99,9.45,256.52,12.46,1.96,1.93,63.15,2.76,356.73,25.76,26.3,7.39,0.82,2.91
2008/11/20,95.85,143.67,119.94,76.4,79.12,11.74,16.11,13.59,61.35,52.01,9.11,254.85,12.37,1.93,1.92,62.62,2.73,353.56,25.58,26.11,7.11,0.81,2.88
2008/11/21,94.21,138.93,117.19,72.59,76.91,11.32,15.74,13.1,57.55,49.36,8.77,250.49,12.16,1.89,1.89,61.57,2.68,346.74,25.14,25.67,6.78,0.79,2.82
2008/11/25,96.66,146.1,124.38,77.98,80.64,12.1,16.71,13.91,62.45,52.58,9.62,256.94,12.47,1.95,1.94,63.75,2.74,356.68,25.8,26.34,7.27,0.8,2.89
2008/11/26,95.01,146.22,123.63,77.19,80.14,12.01,16.61,13.72,61.55,51.98,9.75,252.55,12.25,1.92,1.92,62.91,2.69,350.98,25.36,25.89,7.19,0.79,2.85
2008/11/27,95.34,146.21,122.81,77.69,79.3,11.9,16.51,13.66,62.16,52.72,9.7,253.36,12.3,1.94,1.94,63.05,2.7,351.16,25.45,25.98,7.26,0.79,2.87
2008/11/28,95.56,147,123.21,77.35,79.69,11.97,16.56,13.77,62.81,52.73,9.7,253.95,12.33,1.96,1.96,63.45,2.7,351.97,25.51,26.04,7.25,0.8,2.87
2008/12/1,95.3,146.26,120.6,76.59,78.68,11.77,16.21,13.69,62.04,51.85,9.52,253.39,12.3,1.93,1.95,62.85,2.68,350.37,25.44,25.98,7.1,0.8,2.87
2008/12/2,93.72,139.76,118.28,75.14,77.75,11.3,15.9,13.2,59.72,49.69,8.9,249.19,12.09,1.89,1.92,61.32,2.62,341.92,25.03,25.55,6.87,0.77,2.8
2008/12/3,92.98,138.47,118,74.14,76.96,11.33,15.85,13.18,59.84,49.48,9.15,247.22,11.99,1.87,1.87,60.84,2.62,338.72,24.83,25.34,6.87,0.77,2.78
2008/12/4,93.23,137.48,118.22,74.15,77.02,11.36,15.89,13.11,60.27,49.55,9.21,247.89,12.03,1.88,1.89,61.08,2.62,339.64,24.9,25.41,6.88,0.78,2.78
2008/12/5,92.55,135.6,117.95,72.47,77.16,11.16,15.85,12.95,59.57,49.33,9.12,246.01,11.94,1.87,1.88,60.67,2.6,336.55,24.71,25.22,6.82,0.79,2.77
2008/12/8,92.72,136.55,118.35,72.86,76.16,11.17,15.87,12.82,60.32,49.61,9.02,246.53,11.96,1.88,1.89,60.91,2.6,337.78,24.74,25.26,6.82,0.8,2.76
2008/12/9,92.95,138.39,120.06,74.22,77.05,11.54,16.13,13.22,61.46,50.7,9.2,247.14,11.99,1.89,1.92,61.74,2.63,339.23,24.8,25.33,6.93,0.8,2.78
2008/12/10,92.64,136.85,119.84,73.51,76.92,11.33,16.09,13.11,61.03,50.22,9.11,246.19,11.95,1.89,1.91,61.72,2.61,337.61,24.72,25.24,6.85,0.85,2.76
2008/12/11,92.68,137.36,120.66,73.63,77.37,11.36,16.22,13.17,61.01,50.52,9.14,246.42,11.96,1.91,1.94,61.87,2.62,338,24.73,25.25,6.9,0.85,2.77
