日付,米ドル,英ポンド,ユーロ,カナダドル,スイスフラン,スウェーデンクローネ,デンマーククローネ,ノルウェークローネ,オーストラリアドル,ニュージーランドドル,南アフリカランド,バーレーンディナール,香港ドル,インドルピー,フィリピンペソ,シンガポールドル,タイバーツ,クウェートディナール,サウジアラビアリアル,UAEディルハム,メキシコペソ,インドネシアルピア,台湾ドル
2002/5/16,127.8,186.49,116.41,82.14,79.98,12.61,15.67,15.46,70.11,58.65,12.57,339.71,16.39,2.62,2.58,70.86,2.98,421.64,34.09,34.8,13.51,1.4,3.71
2002/5/17,127.75,186.2,116.55,82.11,80.07,12.64,15.68,15.46,69.97,58.84,12.54,339.58,16.38,2.62,2.59,70.89,2.99,421.48,34.08,34.79,13.51,1.42,3.71
2002/5/20,125.9,183.7,115.94,81.49,79.72,12.58,15.59,15.37,69.42,58.37,12.6,334.57,16.14,2.58,2.56,70.2,2.96,414.55,33.59,34.29,13.34,1.41,3.67
2002/5/21,125.9,183.6,115.64,81.64,79.65,12.59,15.56,15.38,69.82,58.73,12.59,334.66,16.14,2.58,2.56,70.24,2.96,415.79,33.59,34.29,13.27,1.42,3.67
2002/5/22,123.9,180.76,113.79,80.59,78.46,12.41,15.31,15.13,68.96,58.01,12.32,329.35,15.89,2.54,2.51,69.29,2.91,410.81,33.05,33.74,13.04,1.4,3.62
2002/5/23,124.4,181.62,115.13,81.11,79.27,12.62,15.49,15.41,69.44,58.77,12.34,330.68,15.95,2.57,2.51,69.33,2.91,412.88,33.19,33.88,13.05,1.4,3.64
2002/5/24,125,181.68,115.19,81.32,79.11,12.64,15.49,15.46,69.29,58.6,12.41,332.27,16.03,2.58,2.52,69.4,2.92,414.46,33.35,34.04,13.11,1.42,3.66
2002/5/27,124.85,181.96,115.01,81.38,78.97,12.61,15.46,15.47,69.45,58.77,12.54,331.87,16.01,2.57,2.49,69.39,2.92,412.73,33.31,34,13.05,1.41,3.65
2002/5/28,124.85,181.81,114.91,81.3,78.87,12.58,15.47,15.49,69.69,59.2,12.6,331.87,16.01,2.57,2.48,69.56,2.92,412.59,33.31,34,13.09,1.43,3.65
2002/5/29,124.7,181.91,115.8,81.38,79.22,12.63,15.58,15.69,69.98,59.48,12.63,331.47,15.99,2.57,2.5,69.57,2.93,412.5,33.27,33.96,13.03,1.43,3.65
2002/5/30,124.25,181.72,116.32,80.94,79.29,12.71,15.66,15.73,70.11,59.18,12.8,330.28,15.93,2.56,2.49,69.35,2.93,412.79,33.15,33.84,12.82,1.43,3.65
2002/5/31,123.45,180.89,115.61,80.38,79.02,12.66,15.58,15.57,69.72,58.73,12.8,328.15,15.83,2.55,2.48,69.12,2.91,410.13,32.93,33.62,12.75,1.42,3.64
2002/6/3,124.45,181.14,115.89,80.97,79.17,12.76,15.6,15.54,70.49,59.82,12.69,330.81,15.96,2.55,2.49,69.62,2.94,411.81,33.2,33.89,12.92,1.46,3.67
2002/6/4,123.65,180.8,116.22,80.93,79.16,12.77,15.65,15.64,70.96,60.64,12.62,328.68,15.85,2.54,2.46,69.33,2.93,410.25,32.99,33.68,12.81,1.47,3.65
2002/6/5,124.1,180.95,116.77,81.02,79.45,12.8,15.71,15.73,71.22,60.92,12.83,329.88,15.91,2.54,2.47,69.44,2.93,410.93,33.11,33.8,12.75,1.46,3.67
2002/6/6,124.25,181.27,116.72,81.17,79.49,12.8,15.71,15.82,71.57,61.18,12.61,330.28,15.93,2.55,2.45,69.25,2.93,411.7,33.15,33.84,12.77,1.41,3.67
2002/6/7,124.2,181.28,117.57,81.04,79.74,12.82,15.82,15.84,71.32,61.04,12.75,330.14,15.92,2.56,2.45,69.19,2.93,412.9,33.13,33.8,12.74,1.4,3.66
2002/6/10,124.55,181.81,117.56,81.16,79.98,12.77,15.81,15.84,71.04,60.69,12.7,331.07,15.97,2.56,2.47,69.48,2.94,412.55,33.23,33.92,12.79,1.43,3.67
2002/6/11,124.75,182.14,117.75,81.04,80.01,12.85,15.85,15.86,70.97,60.69,12.54,331.61,15.99,2.56,2.48,69.67,2.94,413.22,33.28,33.97,12.86,1.45,3.68
2002/6/12,125.45,184.65,118.85,81.64,80.63,12.99,15.99,16.02,71.44,61.36,12.56,333.47,16.08,2.58,2.5,69.93,2.97,415.67,33.47,34.16,12.94,1.45,3.7
2002/6/13,125.65,184.97,118.68,81.81,80.3,12.97,15.97,16,71.55,61.96,12.42,334,16.11,2.59,2.5,70.37,2.98,417.44,33.52,34.22,12.96,1.47,3.71
2002/6/14,124.95,183.79,117.7,81.17,79.82,12.87,15.83,15.89,70.67,61.04,12.15,332.14,16.02,2.57,2.49,70.02,2.96,416.08,33.33,34.03,12.98,1.45,3.69
